Date,Time,Datetime,Spot Price (NSW),Spot Price (SA),Gunning Wind Farm NSW (47 MW) - Output (MWh),Lake Bonney Wind Farm SA (159 MW) - Output (MWh)
1/01/2014,12:30:00 AM,1/01/2014 0:30,49.72,44.56,12.25,34.085
1/01/2014,1:00:00 AM,1/01/2014 1:00,48.13,41.81,12.665,38.665
1/01/2014,1:30:00 AM,1/01/2014 1:30,44.05,36.73,12.085,40
1/01/2014,2:00:00 AM,1/01/2014 2:00,40.51,33.54,10.915,38.165
1/01/2014,2:30:00 AM,1/01/2014 2:30,37.15,15.14,10.585,43.25
1/01/2014,3:00:00 AM,1/01/2014 3:00,42.68,25.8,8.665,49.335
1/01/2014,3:30:00 AM,1/01/2014 3:30,40.1,16.1,4.085,60
1/01/2014,4:00:00 AM,1/01/2014 4:00,40.1,-3.7,1.5,59.5
1/01/2014,4:30:00 AM,1/01/2014 4:30,42.04,-1.39,4,59.915
1/01/2014,5:00:00 AM,1/01/2014 5:00,42.04,6.47,7.165,59.585
1/01/2014,5:30:00 AM,1/01/2014 5:30,42.04,11.69,8.585,30.085
1/01/2014,6:00:00 AM,1/01/2014 6:00,42.04,27.69,5.75,20.415
1/01/2014,6:30:00 AM,1/01/2014 6:30,42.06,35.7,3.585,28.835
1/01/2014,7:00:00 AM,1/01/2014 7:00,40.95,33.54,1.165,43.75
1/01/2014,7:30:00 AM,1/01/2014 7:30,43.18,34.02,0,53.335
1/01/2014,8:00:00 AM,1/01/2014 8:00,44.58,36.55,0,49.585
1/01/2014,8:30:00 AM,1/01/2014 8:30,47.72,38.87,0.25,50.335
1/01/2014,9:00:00 AM,1/01/2014 9:00,49.6,44.98,2.25,45.415
1/01/2014,9:30:00 AM,1/01/2014 9:30,49.7,45.63,3.915,34.5
1/01/2014,10:00:00 AM,1/01/2014 10:00,49.69,45.95,4,33.415
1/01/2014,10:30:00 AM,1/01/2014 10:30,45.41,45.36,4.415,42.665
1/01/2014,11:00:00 AM,1/01/2014 11:00,47.07,60.46,4.5,45.415
1/01/2014,11:30:00 AM,1/01/2014 11:30,48.96,53.95,4.415,52.835
1/01/2014,12:00:00 PM,1/01/2014 12:00,49.69,56.54,6.085,46.915
1/01/2014,12:30:00 PM,1/01/2014 12:30,49.57,50.81,10.5,48.25
1/01/2014,1:00:00 PM,1/01/2014 13:00,49.53,42.95,12,43.75
1/01/2014,1:30:00 PM,1/01/2014 13:30,49.72,51.83,11.585,44
1/01/2014,2:00:00 PM,1/01/2014 14:00,49.7,62.62,9.335,43.835
1/01/2014,2:30:00 PM,1/01/2014 14:30,49.69,46.23,9.335,44
1/01/2014,3:00:00 PM,1/01/2014 15:00,49.75,50.75,7.25,44
1/01/2014,3:30:00 PM,1/01/2014 15:30,49.75,43.84,3.915,44
1/01/2014,4:00:00 PM,1/01/2014 16:00,49.75,43.67,2.165,44
1/01/2014,4:30:00 PM,1/01/2014 16:30,49.75,67.44,1.75,43.915
1/01/2014,5:00:00 PM,1/01/2014 17:00,50.84,68.85,3.25,45.085
1/01/2014,5:30:00 PM,1/01/2014 17:30,49.98,59.66,0.665,52.5
1/01/2014,6:00:00 PM,1/01/2014 18:00,50.4,58.34,0,47.75
1/01/2014,6:30:00 PM,1/01/2014 18:30,49.74,64.57,0,41.835
1/01/2014,7:00:00 PM,1/01/2014 19:00,49.75,57.11,0.25,29.335
1/01/2014,7:30:00 PM,1/01/2014 19:30,49.75,56.86,4.335,18.915
1/01/2014,8:00:00 PM,1/01/2014 20:00,49.85,55.74,4.5,10.75
1/01/2014,8:30:00 PM,1/01/2014 20:30,49.74,54.48,11.665,12.915
1/01/2014,9:00:00 PM,1/01/2014 21:00,49.73,58.13,15.085,14.665
1/01/2014,9:30:00 PM,1/01/2014 21:30,49.75,54.43,11.085,14.415
1/01/2014,10:00:00 PM,1/01/2014 22:00,49.68,49.93,10.5,14.415
1/01/2014,10:30:00 PM,1/01/2014 22:30,49.7,49.1,18.25,10.835
